model,fid,seed,slug
$\beta$-VAE,287.40387476714943,0,0a2cb55b6c44
$\beta$-VAE,287.2342124432155,0,4a2131d553db
$\beta$-VAE,335.61557970500934,42,6b9f922c926d
$\beta$-VAE,310.47378496211314,42,6e0cd1bd7e7c
$\beta$-VAE,310.96654323147465,0,79d5347123d6
$\beta$-VAE,282.4998942347276,42,858ec5df81b2
$\beta$-VAE,301.1637674710555,0,92ee4bb02daa
$\beta$-VAE,278.2905466980558,3407,996f47caca39
$\beta$-VAE,320.67332044429384,3407,99fa3fc0d49f
$\beta$-VAE,298.50749994588125,42,ab43da68fc0c
$\beta$-VAE,292.6951041846622,3407,b1b5560d82df
$\beta$-VAE,306.1315613216882,3407,e1c386aceefa
VQ-VAE-1,308.11799058827,42,1384dc5991b3
VQ-VAE-1,298.9789161550558,0,188141c001e9
VQ-VAE-1,292.43307434184976,3407,1e4873083122
VQ-VAE-1,289.6835766886469,3407,25318c66d52e
VQ-VAE-1,340.1652257696719,3407,2b21439b4ab1
VQ-VAE-1,243.51046802288295,3407,3acd0306b276
VQ-VAE-1,356.51583546419977,0,42920d26b24a
VQ-VAE-1,316.42422761162163,42,4f682e0988d6
VQ-VAE-1,274.60740709955815,3407,66880c88c289
VQ-VAE-1,293.7291585619999,42,6ee05327a44c
VQ-VAE-1,301.769000834156,3407,739e12cfa2ad
VQ-VAE-1,276.68164052898925,42,73ed4ea91c48
VQ-VAE-1,262.8478294828632,0,79df832be358
VQ-VAE-1,328.0172529403472,0,7aa9cbf0e36d
VQ-VAE-1,314.1611196442308,42,7e9d0597415f
VQ-VAE-1,271.15281729841115,0,91140edae974
VQ-VAE-1,264.70450763589787,42,94a3bea5a61a
VQ-VAE-1,307.29807649187353,42,9833699b289e
VQ-VAE-1,316.696530586045,0,c84f14657420
VQ-VAE-1,263.148769751566,42,d9f0864d6ee3
VQ-VAE-1,281.9145703589436,3407,db311618b7cb
VQ-VAE-1,320.2350007915667,3407,e55de60c18e4
VQ-VAE-1,308.7447393114347,0,f7715ef434fe
VQ-VAE-1,363.7751756386347,0,fbba611a53af
PixelCNN,267.631482051431,3407,099fc9ce2263
PixelCNN,272.8341894430148,0,32a45e7e8ab6
PixelCNN,283.94339797647666,42,e8b7a925fdaf
WGAN-GP,224.56916948969865,42,0aa5769dff7f
WGAN-GP,268.3962414838309,0,16308a4b7407
WGAN-GP,231.41231707954563,42,18eb3fa3ad1e
WGAN-GP,276.53073153133846,42,1addf646ea03
WGAN-GP,275.827678385354,42,26677854ba29
WGAN-GP,174.4026208382076,3407,2b449afde8bc
WGAN-GP,227.9807846177588,0,357e645fbfb3
WGAN-GP,287.86598853943804,42,4697d79e2d0f
WGAN-GP,282.5110128284961,0,556989bb4f90
WGAN-GP,242.01744540119546,0,5ba20e04c5cf
WGAN-GP,232.7560774035598,0,603854c89499
WGAN-GP,264.4514516610181,3407,6301519d2f66
WGAN-GP,264.30291686650105,0,692fa9aaeca6
WGAN-GP,249.7163422127133,3407,73797246fe02
WGAN-GP,249.07373553585194,3407,7b7d15432be4
WGAN-GP,269.9753909735332,3407,8c61c4e4f5da
WGAN-GP,282.1916489558895,3407,8dd334c1bdf5
WGAN-GP,282.3609269624159,42,974f6ed3c7a2
WGAN-GP,271.56794230400885,0,a3ebd3d503f8
WGAN-GP,239.56087012389438,42,a5620f887673
WGAN-GP,247.21530893881015,3407,c4f086b595f2
WGAN-GP,247.4067033598574,3407,cf2f46db6bfd
WGAN-GP,227.40917520142142,42,d87c59dacb8b
WGAN-GP,226.96248922407634,0,fcf4351fc7b4
SN-GAN,358.4331341515397,3407,17674adbf2b3
SN-GAN,284.0359564166896,42,587ccfbaf6bd
SN-GAN,255.68104873041028,42,608f59934eff
SN-GAN,372.24761918112296,0,61322f5520aa
SN-GAN,310.17363684204634,3407,65f795bc2b39
SN-GAN,244.71320073992283,0,69c09b178eb5
SN-GAN,242.04378813614468,42,6b96ba31615f
SN-GAN,358.18565041793397,3407,7092cb017687
SN-GAN,226.13155201083208,42,737a5766e176
SN-GAN,267.83608424361745,3407,80625729d103
SN-GAN,304.29038523641987,0,92935c52d9a1
SN-GAN,240.87065433148553,42,9438819947c0
SN-GAN,290.08148021878844,42,999f503144b6
SN-GAN,372.155497585227,0,9b8ba3e9c183
SN-GAN,247.48528738215606,3407,a066b5f12663
SN-GAN,301.59628021472463,0,a16a6c27fcd8
SN-GAN,291.4837150909942,42,ad4c11ce5387
SN-GAN,267.9238801385457,3407,cf2fabb17da6
SN-GAN,302.7650560948836,0,d1121b5eebf9
SN-GAN,245.41222003992266,0,d249f87735e7
SN-GAN,311.3908103345125,3407,e64c6536c9e4
SN-GAN,250.38170925609893,3407,e6994c9d3236
SN-GAN,306.227624956656,0,f5d4e390d163
SN-GAN,285.09372410351057,42,fc87768595c1
